dateTime,Cycle_Alt
2017-07-20T06:22:34.375000Z,
2017-07-20T06:22:34.500000Z,
2017-07-20T06:22:34.625000Z,
2017-07-20T06:22:34.750000Z,
2017-07-20T06:22:34.875000Z,
2017-07-20T06:22:35.000000Z,593
2017-07-20T06:22:35.125000Z,
2017-07-20T06:22:35.250000Z,
2017-07-20T06:22:35.375000Z,
2017-07-20T06:22:35.500000Z,
2017-07-20T06:22:35.625000Z,
2017-07-20T06:22:35.750000Z,
2017-07-20T06:22:35.875000Z,
2017-07-20T06:22:36.000000Z,593
2017-07-20T06:22:36.125000Z,
2017-07-20T06:22:36.250000Z,
2017-07-20T06:22:36.375000Z,
2017-07-20T06:22:36.500000Z,
2017-07-20T06:22:36.625000Z,
2017-07-20T06:22:36.750000Z,
2017-07-20T06:22:36.875000Z,
2017-07-20T06:22:37.000000Z,593
2017-07-20T06:22:37.125000Z,
2017-07-20T06:22:37.250000Z,
2017-07-20T06:22:37.375000Z,
2017-07-20T06:22:37.500000Z,
2017-07-20T06:22:37.625000Z,
2017-07-20T06:22:37.750000Z,
2017-07-20T06:22:37.875000Z,
2017-07-20T06:22:38.000000Z,593
2017-07-20T06:22:38.125000Z,
2017-07-20T06:22:38.250000Z,
2017-07-20T06:22:38.375000Z,
2017-07-20T06:22:38.500000Z,
2017-07-20T06:22:38.625000Z,
2017-07-20T06:22:38.750000Z,
2017-07-20T06:22:38.875000Z,
2017-07-20T06:22:39.000000Z,593
2017-07-20T06:22:39.125000Z,
